アタッチモジュールID,モジュールID,名前,位置ベクトル(絶対座標),,,回転軸ベクトル,,,偏角(deg),front方向,,,right方向,,,座標表示,座標サイズ,座標長さ,コメント
0: attachi_id,1: ID,2: name,3:x,4:y,5:z,6:x,7:y,8:z,9:deg,10:x,11:y,12:z,13:x,14:y,15:z,16:on/off,17:num,18:num,
1,100,LB01_y,0,7,0,0,1,0,0,0,1,0,1,0,0,off,0,0,LowerBack: 100
100,101,LB01_x,0,7,0,1,0,0,0,0,1,0,1,0,0,off,0,0,
101,102,LB01_z_EE01,0,7,0,0,0,1,0,0,1,0,1,0,0,off,0.1,0.5,EE
1,910,LB01_z_TA01,0,7,0,0,1,0,0,0,1,0,1,0,0,off,0.1,0.5,TA
102,200,BD01_y,0,8,0,0,1,0,0,0,1,0,1,0,0,off,0,0,Body: 200
200,201,BD01_x,0,8,0,1,0,0,0,0,1,0,1,0,0,off,0,0,
201,202,BD01_z_EE01,0,8,0,0,0,1,0,0,1,0,1,0,0,off,0.1,0.5,EE
910,920,BD01_z_TA01,0,8,0,0,0,1,0,0,1,0,1,0,0,off,0.1,0.5,TA
202,300,RA01_x,2,10,0,1,0,0,0,0,1,0,1,0,0,off,0.1,0.5,RightArm: 300
300,301,RA01_z,2,10,0,0,0,1,0,0,1,0,1,0,0,off,0.1,0.5,
301,302,RA02_x,2,8,0,1,0,0,0,0,1,0,1,0,0,off,0.1,0.5,
302,303,RA02_y,2,8,0,0,-1,0,0,0,1,0,1,0,0,off,0.1,0.5,
303,304,RA03_y,2,6,0,0,-1,0,0,0,1,0,1,0,0,off,0.1,0.5,
304,305,RA03_x,2,6,0,1,0,0,0,0,1,0,1,0,0,off,0.1,0.5,
305,306,RA03_z,2,6,0,0,0,1,0,0,1,0,1,0,0,off,0.1,0.5,
306,307,RA04_EE,2,5.3,0,0,-1,0,0,0,-1,0,1,0,0,on,0.1,100,EE
1,930,RA_TA01,2,8,50,0,1,0,0,0,1,0,1,0,0,off,1,0.5,TA1
1,931,RA_TA02,3,8,0,0,1,0,0,0,1,0,1,0,0,off,0.1,0.5,TA2
202,400,LA01_x,-2,10,0,1,0,0,0,0,1,0,-1,0,0,off,0.1,0.5,LeftArm: 400
400,401,LA01_z,-2,10,0,0,0,1,0,0,1,0,-1,0,0,off,0.1,0.5,
401,402,LA02_x,-2,8,0,1,0,0,0,0,1,0,-1,0,0,off,0.1,0.5,
402,403,LA02_y,-2,8,0,0,-1,0,0,0,1,0,-1,0,0,off,0.1,0.5,
403,404,LA03_y,-2,6,0,0,-1,0,0,0,1,0,-1,0,0,off,0.1,0.5,
404,405,LA03_x,-2,6,0,1,0,0,0,0,1,0,-1,0,0,off,0.1,0.5,
405,406,LA03_z,-2,6,0,0,0,1,0,0,1,0,-1,0,0,off,0.1,0.5,
406,407,LA04_EE,-2,5.3,0,0,-1,0,0,0,-1,0,-1,0,0,on,0.1,100,EE
1,940,LA_TA01,-2,8,50,0,1,0,0,0,1,0,-1,0,0,off,1,0.5,TA1
1,941,LA_TA02,-3,8,0,0,1,0,0,0,1,0,-1,0,0,off,0.1,0.5,TA2
202,500,HD01_y,0,10,0,0,1,0,0,0,0,1,1,0,0,off,0.1,0.5,Head: 500
500,501,HD01_x,0,10,0,1,0,0,0,0,0,1,1,0,0,off,0.1,0.5,
501,502,HD01_z_EE01,0,10.75,0,0,0,1,0,0,0,1,1,0,0,off,0.1,0.5,
1,950,HD_TA01,0,10.75,0,0,0,1,0,0,0,1,1,0,0,off,0.1,0.5,
1,951,HD_TA02,0,10.75,100,0,0,1,0,0,0,1,1,0,0,off,0.1,0.5,
102,600,RL01_x,1.5,6,0,1,0,0,0,0,0,1,1,0,0,off,0.1,0.5,R_Leg : 600
600,601,RL01_z,1.5,6,0,0,0,1,0,0,0,1,1,0,0,off,0.1,0.5,
601,602,RL02_x,1.5,3.5,0,1,0,0,0,0,0,1,1,0,0,off,0.1,0.5,
601,610,RL02_EE,1.5,3.5,0,1,0,0,0,0,0,1,1,0,0,off,0.1,0.5,
1,961,RL02_TA,1.7,3.75,2,1,0,0,0,0,0,1,1,0,0,off,0.1,0.5,
602,603,RL03_x,1.5,1,0,1,0,0,0,0,0,1,1,0,0,off,0.1,0.5,
603,604,RL03_y,1.5,1,0,0,-1,0,0,0,0,1,1,0,0,off,0.1,0.5,
604,605,RL03_z,1.5,1,0,0,0,1,0,0,0,1,1,0,0,off,0.1,0.5,
605,606,RL05_EE,1.5,0,0,1,0,0,0,0,0,1,1,0,0,off,0.1,0.5,
1,960,RL05_TA01,2.1,1,0,1,0,0,0,0,0,1,1,0,0,off,0.1,0.5,
102,700,LL01_x,-1.5,6,0,1,0,0,0,0,0,1,1,0,0,off,0.1,0.5,L_Leg: 700
700,701,LL01_z,-1.5,6,0,0,0,1,0,0,0,1,1,0,0,off,0.1,0.5,
701,702,LL02_x,-1.5,3.5,0,1,0,0,0,0,0,1,1,0,0,off,0.1,0.5,
701,710,LL02_EE,-1.5,3.5,0,1,0,0,0,0,0,1,1,0,0,off,0.1,0.5,
1,971,LL02_TA,-1.7,3.75,2,1,0,0,0,0,0,1,1,0,0,off,0.1,0.5,
702,703,LL03_x,-1.5,1,0,1,0,0,0,0,0,1,1,0,0,off,0.1,0.5,
703,704,LL03_y,-1.5,1,0,0,-1,0,0,0,0,1,1,0,0,off,0.1,0.5,
704,705,LL03_z,-1.5,1,0,0,0,1,0,0,0,1,1,0,0,off,0.1,0.5,
705,706,LL05_EE,-1.5,0,0,1,0,0,0,0,0,1,1,0,0,off,0.1,0.5,
1,970,LL05_TA01,-2.1,1,0,1,0,0,0,0,0,1,1,0,0,off,0.1,0.5,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
